Cell,Pack Voltage (V),SMod,S,Pack Current (A),P,MCnt,Pack Power (kW),Pack Energy (kWh),Total Pack Weight (kg),Cell Weight (kg),Total Wall Weight (kg),Grav Energy Density (Wh/kg),Grav Power Density (W/kg),Pack Length (mm),Pack Width (mm),Pack Height (mm),Total Wall Volume (mm³)
GRP6985155,407.0,22,110,300.0,2.0,5,122.1,8.14,43.169857366,38.5,4.6698573660000005,0.18855749119085474,2.8283623678628205,147.4,850.0,155.0,1723194.6
GRP6985155,421.79999999999995,19,114,300.0,2.0,6,126.53999999999999,8.436,44.9838287005,39.9,5.083828700499999,0.18753405932088288,2.813010889813243,127.3,1020.0,155.0,1875951.5499999998
GRP6985155,414.40000000000003,16,112,300.0,2.0,7,124.32000000000002,8.288,44.540433316000005,39.2,5.340433316,0.18607811785752765,2.7911717678629153,107.2,1190.0,155.0,1970639.6
GRP6985155,414.40000000000003,14,112,300.0,2.0,8,124.32000000000002,8.288,44.855966475,39.2,5.655966475,0.1847691767965635,2.771537651948453,93.8,1360.0,155.0,2087072.5
GRP6985155,388.5,21,105,300.0,2.0,5,116.55,7.77,41.282245463,36.75,4.532245463000001,0.18821650597867817,2.8232475896801725,140.70000000000002,850.0,155.0,1672415.3000000003
GRP6985155,399.6,18,108,300.0,2.0,6,119.88,7.992,42.719989010999996,37.8,4.919989011,0.1870786998082358,2.806180497123537,120.60000000000001,1020.0,155.0,1815494.1
GRP6985155,388.5,15,105,300.0,2.0,7,116.55,7.77,41.90036584,36.75,5.15036584,0.18543990832133508,2.781598624820026,100.5,1190.0,155.0,1900504.0
GRP6985155,384.8,13,104,300.0,2.0,8,115.44,7.696,41.8396712125,36.4,5.4396712124999995,0.18394025997271093,2.759103899590664,87.10000000000001,1360.0,155.0,2007258.75
GRP6985155,414.40000000000003,28,112,150.0,1.0,4,62.16000000000001,4.144,22.269443766000002,19.6,2.669443766,0.18608457595725292,2.7912686393587944,187.6,340.0,155.0,985034.6000000001
GRP6985155,407.0,22,110,150.0,1.0,5,61.05,4.07,22.012144736,19.25,2.7621447359999998,0.18489793015687722,2.773468952353158,147.4,425.0,155.0,1019241.6
GRP6985155,421.79999999999995,19,114,150.0,1.0,6,63.269999999999996,4.218,22.922366888499997,19.95,2.9723668884999994,0.1840124111317729,2.7601861669765935,127.3,510.0,155.0,1096814.3499999999
GRP6985155,414.40000000000003,16,112,150.0,1.0,7,62.16000000000001,4.144,22.68448677,19.6,3.08448677,0.18267990993212144,2.740198648981822,107.2,595.0,155.0,1138187.0
GRP6985155,414.40000000000003,14,112,150.0,1.0,8,62.16000000000001,4.144,22.835780379,19.6,3.2357803789999995,0.18146960301872853,2.7220440452809282,93.8,680.0,155.0,1194014.9
GRP6985155,399.6,27,108,150.0,1.0,4,59.94,3.996,21.4975692815,18.9,2.5975692814999998,0.18588148025827309,2.788222203874096,180.9,340.0,155.0,958512.65
